dimensions,num_walks,walk_length,run,accuracy,average_accuracy
16,20,20,1.0,0.7434607645875252,
16,20,20,2.0,0.7354124748490946,
16,20,20,3.0,0.7605633802816901,
16,20,20,4.0,0.7454728370221329,
16,20,20,5.0,0.7545271629778671,
16,20,20,6.0,0.7414486921529175,
16,20,20,7.0,0.7454728370221329,
16,20,20,8.0,0.7364185110663984,
16,20,20,9.0,0.744466800804829,
16,20,20,10.0,0.721327967806841,
16,20,20,,,0.7428571428571429
32,20,20,1.0,0.7776659959758552,
32,20,20,2.0,0.7595573440643864,
32,20,20,3.0,0.7665995975855131,
32,20,20,4.0,0.755533199195171,
32,20,20,5.0,0.7515090543259557,
32,20,20,6.0,0.7676056338028169,
32,20,20,7.0,0.755533199195171,
32,20,20,8.0,0.7625754527162978,
32,20,20,9.0,0.7676056338028169,
32,20,20,10.0,0.7535211267605634,
32,20,20,,,0.7617706237424546
64,20,20,1.0,0.8058350100603622,
64,20,20,2.0,0.7977867203219315,
64,20,20,3.0,0.8108651911468813,
64,20,20,4.0,0.8018108651911469,
64,20,20,5.0,0.7977867203219315,
64,20,20,6.0,0.8038229376257545,
64,20,20,7.0,0.8008048289738431,
64,20,20,8.0,0.7967806841046278,
64,20,20,9.0,0.8148893360160966,
64,20,20,10.0,0.7937625754527163,
64,20,20,,,0.8024144869215292
128,20,20,1.0,0.8229376257545271,
128,20,20,2.0,0.823943661971831,
128,20,20,3.0,0.8098591549295775,
128,20,20,4.0,0.8118712273641852,
128,20,20,5.0,0.8088531187122736,
128,20,20,6.0,0.8189134808853119,
128,20,20,7.0,0.8219315895372233,
128,20,20,8.0,0.8158953722334004,
128,20,20,9.0,0.8209255533199196,
128,20,20,10.0,0.8138832997987927,
128,20,20,,,0.8169014084507044
128,20,20,1.0,0.8269617706237424,
128,20,20,2.0,0.8108651911468813,
128,20,20,3.0,0.8058350100603622,
128,20,20,4.0,0.8118712273641852,
128,20,20,5.0,0.8138832997987927,
128,20,20,6.0,0.8199195171026157,
128,20,20,7.0,0.8118712273641852,
128,20,20,8.0,0.8138832997987927,
128,20,20,9.0,0.8279678068410463,
128,20,20,10.0,0.8078470824949698,
128,20,20,,,0.8150905432595573
128,40,20,1.0,0.7977867203219315,
128,40,20,2.0,0.8028169014084507,
128,40,20,3.0,0.806841046277666,
128,40,20,4.0,0.8008048289738431,
128,40,20,5.0,0.7877263581488934,
128,40,20,6.0,0.8088531187122736,
128,40,20,7.0,0.8058350100603622,
128,40,20,8.0,0.7857142857142857,
128,40,20,9.0,0.8209255533199196,
128,40,20,10.0,0.7847082494969819,
128,40,20,,,0.8002012072434608
128,60,20,1.0,0.7937625754527163,
128,60,20,2.0,0.8008048289738431,
128,60,20,3.0,0.7887323943661971,
128,60,20,4.0,0.7826961770623743,
128,60,20,5.0,0.7877263581488934,
128,60,20,6.0,0.8078470824949698,
128,60,20,7.0,0.7696177062374245,
128,60,20,8.0,0.7816901408450704,
128,60,20,9.0,0.7987927565392354,
128,60,20,10.0,0.7927565392354124,
128,60,20,,,0.7904426559356137
128,80,20,1.0,0.7746478873239436,
128,80,20,2.0,0.7655935613682092,
128,80,20,3.0,0.7746478873239436,
128,80,20,4.0,0.7665995975855131,
128,80,20,5.0,0.755533199195171,
128,80,20,6.0,0.7847082494969819,
128,80,20,7.0,0.7625754527162978,
128,80,20,8.0,0.7635814889336016,
128,80,20,9.0,0.7676056338028169,
128,80,20,10.0,0.7585513078470825,
128,80,20,,,0.7674044265593561
128,100,20,1.0,0.7665995975855131,
128,100,20,2.0,0.7605633802816901,
128,100,20,3.0,0.7716297786720322,
128,100,20,4.0,0.7635814889336016,
128,100,20,5.0,0.7464788732394366,
128,100,20,6.0,0.7605633802816901,
128,100,20,7.0,0.7645875251509054,
128,100,20,8.0,0.7535211267605634,
128,100,20,9.0,0.7746478873239436,
128,100,20,10.0,0.755533199195171,
128,100,20,,,0.7617706237424547
128,120,20,1.0,0.7635814889336016,
128,120,20,2.0,0.7505030181086519,
128,120,20,3.0,0.7575452716297787,
128,120,20,4.0,0.7535211267605634,
128,120,20,5.0,0.7575452716297787,
128,120,20,6.0,0.772635814889336,
128,120,20,7.0,0.7545271629778671,
128,120,20,8.0,0.7374245472837022,
128,120,20,9.0,0.7545271629778671,
128,120,20,10.0,0.7474849094567404,
128,120,20,,,0.7549295774647887
128,20,20,1.0,0.8269617706237424,
128,20,20,2.0,0.8158953722334004,
128,20,20,3.0,0.8279678068410463,
128,20,20,4.0,0.8209255533199196,
128,20,20,5.0,0.8088531187122736,
128,20,20,6.0,0.8309859154929577,
128,20,20,7.0,0.8158953722334004,
128,20,20,8.0,0.8199195171026157,
128,20,20,9.0,0.8319919517102615,
128,20,20,10.0,0.8078470824949698,
128,20,20,,,0.8207243460764587
128,20,40,1.0,0.8048289738430584,
128,20,40,2.0,0.8128772635814889,
128,20,40,3.0,0.8088531187122736,
128,20,40,4.0,0.795774647887324,
128,20,40,5.0,0.8088531187122736,
128,20,40,6.0,0.8128772635814889,
128,20,40,7.0,0.7977867203219315,
128,20,40,8.0,0.8018108651911469,
128,20,40,9.0,0.8118712273641852,
128,20,40,10.0,0.8128772635814889,
128,20,40,,,0.806841046277666
128,20,60,1.0,0.7987927565392354,
128,20,60,2.0,0.7907444668008048,
128,20,60,3.0,0.795774647887324,
128,20,60,4.0,0.7877263581488934,
128,20,60,5.0,0.7847082494969819,
128,20,60,6.0,0.7937625754527163,
128,20,60,7.0,0.7816901408450704,
128,20,60,8.0,0.7987927565392354,
128,20,60,9.0,0.8098591549295775,
128,20,60,10.0,0.7857142857142857,
128,20,60,,,0.7927565392354124
128,20,80,1.0,0.7756539235412475,
128,20,80,2.0,0.7665995975855131,
128,20,80,3.0,0.8008048289738431,
128,20,80,4.0,0.7877263581488934,
128,20,80,5.0,0.7655935613682092,
128,20,80,6.0,0.795774647887324,
128,20,80,7.0,0.7796780684104627,
128,20,80,8.0,0.7746478873239436,
128,20,80,9.0,0.7826961770623743,
128,20,80,10.0,0.7756539235412475,
128,20,80,,,0.7804828973843058
128,20,100,1.0,0.7605633802816901,
128,20,100,2.0,0.7665995975855131,
128,20,100,3.0,0.7635814889336016,
128,20,100,4.0,0.755533199195171,
128,20,100,5.0,0.7645875251509054,
128,20,100,6.0,0.7736418511066399,
128,20,100,7.0,0.7635814889336016,
128,20,100,8.0,0.7665995975855131,
128,20,100,9.0,0.7665995975855131,
128,20,100,10.0,0.7696177062374245,
128,20,100,,,0.7650905432595574
128,20,20,1.0,0.8279678068410463,
128,20,20,2.0,0.8209255533199196,
128,20,20,3.0,0.8219315895372233,
128,20,20,4.0,0.8118712273641852,
128,20,20,5.0,0.8199195171026157,
128,20,20,6.0,0.829979879275654,
128,20,20,7.0,0.8249496981891348,
128,20,20,8.0,0.8098591549295775,
128,20,20,9.0,0.8340040241448692,
128,20,20,10.0,0.8088531187122736,
128,20,20,,,0.8210261569416499
